acceso_agua_potable(%),capacidad_estadística,esperanza_vida_total,inversion_salud_percapita,mediana_edad_población,mortalidad_infantil_c/1000nacimientos,prevalencia_anticonceptivos_porcentaje,tasa_bruta_cambio_natural_población,tasa_fertilidad,INB_percapita
0.9816987408474422,0.8361581633630228,0.8187493463552777,0.248972571532571,0.5631978925144517,0.04578313253012048,0.6549439347604485,0.374147708255635,0.22026251088252433,0.15966386554621848
0.9999998498190008,0.627118537776519,0.4717585255384029,0.04099816304360324,0.28791074489529966,0.1004016064257028,0.27166156982670747,0.771867917491465,0.4065304845971575,0.2044208987943003
0.9999999306489018,0.627118537776519,0.44846866125516005,0.03574140867042496,0.2745214860178361,0.10200803212851406,0.2665647298674822,0.7719539834179648,0.4129976778842819,0.16276945560833028
0.9999999784772453,0.9999998870056688,0.8057971247677043,0.23198390709610497,0.7835146016229727,0.012048192771084335,0.6595310907237514,0.23751326849700205,0.083002344870833,0.3070880526123493
0.9816731840110791,0.8192090136933873,0.8137615343153435,0.21495701641539186,0.6407002074532078,0.04578313253012048,0.6890927624872579,0.29587552954452,0.2102123351247881,0.1227621483375959
0.9816475233872102,0.8192090136933873,0.8054753304425466,0.17704859880735146,0.5405642147689044,0.04578313253012048,0.6636085626911316,0.3723594495605857,0.2124567771332683,0.10221044939715014
0.9229489455704898,0.22033928468825714,0.7281529810221792,0.04612427286650831,0.5272146060320527,0.04698795180722892,0.42201834862385323,0.37398513928335775,0.1700557565955372,0.01214833759590793
0.9220202301755402,0.2711867336971636,0.7238650716394615,0.04564129486621561,0.5122415336045928,0.04939759036144578,0.4143730886850153,0.3573744154689159,0.14795441362803832,0.03653635367190354
0.9229489455704898,0.20338979603562712,0.7195441783384147,0.05019053887780234,0.49652164887802963,0.051807228915662654,0.40825688073394495,0.34041942794847524,0.12671710863007427,0.031603945926196544
0.9220202301755402,0.3728816317149779,0.7151573172007106,0.04467895434593103,0.4808570028160156,0.054216867469879526,0.4051987767584099,0.3695097111053734,0.15152412228161158,0.017354767994154183
0.9220202301755402,0.4237290807238844,0.7107044882263498,0.04734944842996881,0.4657455631144093,0.056626506024096385,0.39755351681957196,0.36819003356571134,0.14570668963182884,0.010595542564852026
0.9220202301755402,0.4237290807238844,0.7062846431703176,0.04507557168684148,0.45136000811181975,0.060240963855421686,0.3929663608562691,0.39530080041311644,0.16943502331633484,0.003927658019729621
0.9220202301755402,0.4406778914105267,0.7018647981142849,0.048701079785559764,0.4375824308486561,0.06385542168674699,0.38685015290519886,0.3906819290242993,0.16066752129627135,0.0031055900621117932
0.9220202301755402,0.38983044240162035,0.6975439048132386,0.04103561727098057,0.42386219005774317,0.06746987951807229,0.3807339449541285,0.394210632010787,0.16286338988635787,0.001826817683595175
0.9248063763603889,0.322033843723077,0.6932230115121918,0.042540984855506975,0.4110041827065968,0.07228915662650602,0.37614678899082565,0.42312878331468573,0.1888781750222792,0.003288271830471312
0.9303786684909445,0.18644064636599167,0.684515257073441,0.04015158666214068,0.3882559565593581,0.08192771084337351,0.3669724770642203,0.4547723556244083,0.21731813029097444,0.002466203872853484
0.9331648146757932,0.22033894570526258,0.6798975085074375,0.029782849970828997,0.37916813484103973,0.08674698795180723,0.3623853211009175,0.5089938893192185,0.26563095885897103,0.010778224333211545
0.9359509608606418,0.25423724504453504,0.6750158885948041,0.03752350949094818,0.3712794909395597,0.09277108433734939,0.35779816513761475,0.5182029434546863,0.27336638513775924,0.025849470222871748
0.9387371070454904,0.10169489801781428,0.6697714455805572,0.039467676284973885,0.36205778433959457,0.09759036144578313,0.3516819571865444,0.4750839142783373,0.23368430910110513,0.024388016075995597
0.941523253230339,0.10169489801781428,0.6640982116280374,0.03511802508973372,0.35137488702019015,0.10361445783132531,0.345565749235474,0.4667928966921996,0.22737151510337936,0.012696382900986472
0.9443093994151877,0.10169489801781428,0.6579961867372468,0.03309763512010394,0.3401674422080512,0.10963855421686747,0.3409785932721713,0.47307570932667764,0.22759797225670128,0.0
0.9730850203413318,0.7796607153117426,0.7075050481484753,0.08017446932274827,0.39855008299369976,0.0855421686746988,0.6697247706422019,0.41150988323722637,0.2728592086339907,9.13408841797525e-05
0.9730850203413318,0.8474576529732792,0.7026234282358428,0.11790846106370755,0.39052256733892776,0.09277108433734939,0.6651376146788992,0.44039934589895857,0.30095017920747,0.006576543660942638
0.9752867013750679,0.9999999999999999,0.6925963170639484,0.11807886251220419,0.3769460743646903,0.10481927710843374,0.6544342507645261,0.4773790056516626,0.3301360208874451,0.001644135915235656
0.9725480207560224,0.7118642861246974,0.6823053345454251,0.10776328024956165,0.36355404524474444,0.11807228915662651,0.6406727828746178,0.4869897007774622,0.33469448304426674,0.00411033978808914
0.9816220404456382,0.8531073130326582,0.8004875184026128,0.16808914240739728,0.6250196895254075,0.04578313253012048,0.6936799184505608,0.29908865746717544,0.2077458848796856,0.09691267811472414
0.949039348798848,0.23163860480701595,0.704668431172216,0.08120668490824752,0.7560679592460954,0.12690763052208834,0.5458715596330276,0.1505866827323063,0.1166407499035643,0.09727804165144317
0.949039348798848,0.23163860480701595,0.7000176986878834,0.08120668490824752,0.7434053220388569,0.12690763052208834,0.5458715596330276,0.20647215767277732,0.1517763977384041,0.15071245889660212
0.949039348798848,0.23163860480701595,0.6953669662035509,0.08120668490824752,0.7309260585325149,0.13453815261044175,0.5366972477064221,0.2329804630346846,0.1738928378494579,0.14532334672999636
