acceso_agua_potable(%),esperanza_vida_total,mortalidad_infantil_c/1000nacimientos,tasa_bruta_cambio_natural_población,tasa_bruta_mortalidad_por_1000_habitantes,tasa_fertilidad,tasa_poblacion_urbana,índice_gini
0.7117273353054709,0.8188842463308625,0.19290465631929044,0.9020097514567724,0.02004207616395476,0.5096398812507659,0.32149876766605306,0.27901234567901234
0.6785518983698906,0.8117454385117682,0.20066518847006654,0.9093134340191065,0.016769485634140643,0.5263382960710268,0.3172557950893832,0.28049382716049376
0.6431903904257339,0.8044596552375751,0.208980044345898,0.9119990486383636,0.018700517313223503,0.5447545923425683,0.3132156116432159,0.28049382716049376
0.6083165649293341,0.7969849035211116,0.2178492239467849,0.9156558449280532,0.019168030246054082,0.5623955652842296,0.30939381649143605,0.28049382716049376
0.5739347409890914,0.789279190375207,0.22782705099778267,0.921046894200658,0.019676196477391675,0.5808771680646995,0.3058060087979284,0.2804938271604938
0.5400363160956985,0.7811745438511766,0.23835920177383596,0.9271217346493835,0.022257680932586663,0.6008439717497133,0.30242099023492336,0.2804938271604938
0.5065710631660256,0.7725449849875068,0.24944567627494457,0.929480318706148,0.022908133708698777,0.6223371932404282,0.29905157083580314,0.26271604938271603
0.4735437471527261,0.7632855313162699,0.2610864745011086,0.9335731557458278,0.02375168965271919,0.6413734139847832,0.2957133497644526,0.26271604938271603
0.4409509752197371,0.753396182837466,0.27328159645232813,0.935307408728743,0.026119744290752395,0.6600346444763783,0.29239072785698683,0.30469135802469133
0.4087933703754097,0.7428769395510948,0.2860310421286031,0.9316010623538271,0.028355675708637812,0.6778409027615325,0.2890837051134059,0.3046913580246914
0.3770715999503334,0.7318537804186698,0.29933481152993346,0.9358029095810043,0.03163842956307866,0.69741739910214,0.2857922815337097,0.3214814814814814
0.3457904109185636,0.7204316879081192,0.31319290465631927,0.9385182542513972,0.03449432378319596,0.7164477715024118,0.28253205628178324,0.32148148148148137
0.7691909309919771,0.9955487433598587,0.08370288248337028,0.7366313870059855,0.006006524854410375,0.17091061502300356,0.5577169063738183,0.2098765432098766
0.7691909309919771,0.9875910722909271,0.08980044345898004,0.7454413921591945,0.005315418779791241,0.18195660528690308,0.548856581287243,0.045925925925925946
0.708682255387622,0.9798223696642656,0.0958980044345898,0.752854084909026,0.007947719858119984,0.1959037919549065,0.5400274545284371,0.045925925925925946
0.6652162098102913,0.972620572364415,0.10199556541019957,0.7680065009711816,0.0043702295895033105,0.21231744811683326,0.5312607244251708,0.041975308641975295
0.705063432670915,0.9665315892245991,0.1080931263858093,0.7763705553573551,0.004146636447714777,0.22206232106852034,0.5224939943219042,0.07753086419753089
0.7586982678321637,0.9620593360908727,0.11363636363636363,0.7809688032663415,0.0038519000335389617,0.22508382626519183,0.5138052600380618,0.15209876543209874
0.750535939844412,0.9592877989375772,0.1197339246119734,0.7836048678003725,0.0034453670484688934,0.225149272020408,0.505147724081989,0.1328395061728395
0.7200718835226352,0.9580700023096143,0.12583148558758311,0.7904328695445355,0.003303080503694364,0.23349221334759215,0.49656818394534047,0.12987654320987652
0.6874593722130095,0.9580909988031996,0.13248337028824836,0.7956752685614619,0.0038010834104052066,0.24168671813209466,0.48800424297257666,0.1328395061728395
0.7608332535542424,0.9587838830915234,0.1402439024390244,0.802423990169263,0.00391287998129948,0.2520478951531152,0.4837612703959067,0.5106172839506172
0.3404183694625746,0.48483003338442465,0.529379157427938,0.9318389027629126,0.10173487951378654,0.7531214840312359,0.770770286712632,0.4543209876543209
0.3280897786726961,0.4675499191634995,0.5554323725055432,0.9266262337971221,0.10837153049505555,0.7579238100012254,0.7523320750007798,0.562469135802469
0.3157660166345225,0.45205450689734805,0.5781596452328159,0.9142486225076306,0.12332178102100758,0.7625955229533581,0.7338626649611579,0.562469135802469
0.3017561671419126,0.4385537615218257,0.5986696230598669,0.9104035358940816,0.12854572987915808,0.7673978489233478,0.7153464574298818,0.5703703703703702
0.2878930640828175,0.427278644466374,0.6169623059866962,0.9061917786498592,0.1336070655432805,0.7726718020697569,0.6968302498986054,0.6592592592592592
0.2857282503189606,0.41827114871816395,0.6324833702882483,0.9033376937408331,0.13781468193875582,0.7787288763381569,0.6782672448756746,0.5777777777777777
0.2857282503189606,0.41134230583492537,0.6457871396895787,0.9016629008601893,0.14193082841259033,0.7856616705098644,0.6597510373443982,0.5664197530864197
0.34889196490793417,0.406219161400046,0.6568736141906872,0.9129801403258413,0.1344201315134207,0.7934699060923037,0.6412660281408915,0.6469135802469135
0.34594069027138213,0.4026707539840846,0.6646341463414633,0.9147639433939825,0.1371439025133902,0.8021101382437146,0.6228746139206938,0.6360493827160493
0.34889196490793417,0.40048711865118514,0.6696230598669622,0.9160918856780433,0.1390850975170998,0.8115187314106207,0.6045143980282655,0.6360493827160493
0.3825136941383874,0.3995422764398344,0.6723946784922394,0.9045863558885321,0.1545943308975232,0.8215650725751653,0.586278975446916,0.6360493827160493
0.3825136941383874,0.3995422764398344,0.6729490022172948,0.8975006937011931,0.16534712835262672,0.831902995466141,0.5630518204224253,0.6360493827160493
0.34889196490793417,0.4001511747538159,0.6729490022172948,0.900047568081817,0.16762371306901913,0.8421335594693046,0.5400898511839765,0.6651851851851851
0.3147846791989047,0.4010120309908244,0.6729490022172948,0.9170036072462044,0.1558444198266137,0.8519139402243537,0.5173306710760301,0.6261728395061728
0.3147846791989047,0.4017469082663193,0.6729490022172948,0.9061025884964521,0.17127234661002305,0.860831550980851,0.4949302717374348,0.6261728395061728
