acceso_agua_potable(%),acceso_servicios_sanitarios(%),capacidad_estadística,año,esperanza_vida_total,pais_id,inversion_salud_percapita,mediana_edad_población,pib_pc_usd_actuales,nivel_id
99.23471533,99.86008794,81.4814851851852,2004.0,79.8926829268293,35.0,2925.06713867,39.294203054660464,32143.6814078562,3.0
99.99999832,99.59724553,80.74074074074073,2007.0,69.3726829268293,91.0,3303.204101563333,33.62657408771287,39780.9514445753,3.0
100.0000017,99.59725012,80.74074074074073,2006.0,68.6665853658537,91.0,2363.67586263,35.44278600325303,35458.1231210482,3.0
100.0000037,100.0000037,40.000000000000036,2019.0,81.0959349593496,6.0,2744.19433594,41.6989064984271,40898.4179063904,3.0
99.23364664,99.8595732,79.9999962962963,2003.0,79.7414634146342,35.0,2562.91455078,38.5917114054355,28300.4630963791,3.0
99.23257361,99.85906123,79.9999962962963,2002.0,79.490243902439,35.0,2159.31591797,34.26622794961633,24255.3385818322,3.0
100.00000283333333,99.59725663333334,44.4444666666667,2020.0,77.146,12.0,1408.56439209,34.2591993733446,13992.7444804497,3.0
100.00000283333334,99.59725663333334,47.7778,2019.0,77.016,12.0,760.26495361,33.8245709085016,17376.6496765004,3.0
100.00000283333334,99.59725663333334,43.3333333333333,2018.0,76.885,12.0,808.69927979,33.3682644691041,16679.5916624545,3.0
96.73918628,87.50428238,54.4444666666667,2017.0,76.752,12.0,750.01922607,32.913561461206,15383.5763979856,3.0
96.73918628,87.50428238,57.7778,2016.0,76.617,12.0,778.45111084,32.4749165624455,15198.7429664112,3.0
96.73918628,87.50428238,57.7778,2015.0,76.483,12.0,754.24188232,32.0573421656755,14285.3297773091,3.0
96.73918628,87.50428238,58.8888888888889,2014.0,76.349,12.0,792.8414917,31.6574157454865,13501.5809223367,3.0
96.73918628,87.50428238,55.5555555555556,2013.0,76.218,12.0,711.22979736,31.2591536505744,12910.5906255945,3.0
96.85569235,87.11236131,51.1111111111111,2012.0,76.087,12.0,727.25695801,30.885919898915,13272.7349447294,3.0
97.08870448,86.32851916,42.2222222222222,2010.0,75.823,12.0,701.81781006,30.22559940316,13048.9605816199,3.0
97.20521055,85.93659809,44.4444444444444,2009.0,75.683,12.0,591.42523193,29.9618041118906,14160.5620007335,3.0
97.32171662,85.54467701,46.6666666666667,2008.0,75.535,12.0,673.83752441,29.7328177628828,16044.1057963132,3.0
97.43822269,85.15275594,36.6666666666667,2007.0,75.376,12.0,694.53643799,29.4651361496272,15622.6928710238,3.0
97.55472876,84.76083486,36.6666666666667,2006.0,75.204,12.0,648.22711182,29.1550400564905,13995.8044243845,3.0
97.67123483,84.36891379,36.6666666666667,2005.0,75.019,12.0,626.7166748,28.8297177449134,12557.5478500769,3.0
100.00000283333334,99.59725663333334,81.1111,2018.0,76.52,9.0,1127.9284668,30.5244105116171,11795.1593866287,3.0
100.00000283333334,99.59725663333334,85.5555666666667,2017.0,76.372,9.0,1529.67004395,30.2913930850041,14613.041824658,3.0
98.96658815,94.9480284,95.5555666666667,2015.0,76.068,9.0,1531.48425293,29.8973036068471,13789.060424772,3.0
98.85206691,94.01399452,76.6666666666667,2013.0,75.756,9.0,1421.65759277,29.5085686237143,13080.2547323367,3.0
99.23150801,99.85854953,84.81481851851855,2001.0,79.3390243902439,35.0,2063.92749023,38.52422442738703,23822.0601178964,3.0
100.00000169999998,99.59725485000001,68.88889629629631,2020.0,76.434,0.0,1426.8462524433335,40.90220347711,23384.2987907455,3.0
100.00000057333334,99.59725023666668,68.88889629629631,2019.0,76.293,0.0,1426.8462524433335,40.5346408010521,31135.8843563332,3.0
100.00000057333334,99.59725023666668,68.88889629629631,2018.0,76.152,0.0,1426.8462524433335,40.1724009757651,30253.7142345626,3.0
100.00000057333334,99.59725023666668,68.88889629629631,2017.0,76.01,0.0,1505.7544555666666,39.8165987744487,29348.418968591,3.0
97.86902338,97.54348112,68.51851851851853,2016.0,75.868,0.0,1426.8462524433335,39.462878521599,28453.715564598,3.0
97.86902338,97.54348112,68.51851851851853,2015.0,75.725,0.0,1426.8462524433335,39.1032440762017,28399.0501310163,3.0
97.86902338,97.54348112,68.51851851851853,2014.0,75.583,0.0,1426.8462524433335,38.7342943898516,26895.0571665314,3.0
97.86902338,97.54348112,68.51851851851853,2013.0,75.441,0.0,1426.8462524433335,38.3539971758986,26442.4268006965,3.0
97.86902338,97.54348112,68.88889629629631,2012.0,75.299,0.0,1426.8462524433335,37.9634740115671,25496.8439417217,3.0
97.58733863,97.60820852,68.51851851851853,2011.0,75.158,0.0,1426.8462524433335,37.5640357326848,25849.9640060328,3.0
97.30565388,97.67293593,68.88889629629631,2010.0,75.017,0.0,1426.8462524433335,37.206215249449,24134.473859403,3.0
97.02396912,97.73766333,68.88889629629631,2009.0,74.872,0.0,1426.8462524433335,36.8835407724011,25170.8323632477,3.0
96.74228437,97.80239074,68.51851851851853,2008.0,74.725,0.0,1426.8462524433335,36.5392305046879,28048.1517706491,3.0
96.46059962,97.86711814,68.51851851851853,2007.0,74.576,0.0,1426.8462524433335,36.1672109828053,26452.2319491525,3.0
96.17891487,97.93184555,68.51851851851853,2006.0,74.429,0.0,1426.8462524433335,35.7721393891789,24495.0153945714,3.0
95.89723012,97.99657295,68.88889629629631,2005.0,74.287,0.0,1426.8462524433335,35.3527222861505,23591.1598383737,3.0
95.61554536,98.06130035,68.88889629629631,2004.0,74.156,0.0,1426.8462524433335,34.8880851697397,22834.2846487073,3.0
95.33386061,98.12602776,68.51851851851853,2003.0,74.038,0.0,1426.8462524433335,34.3899162037952,21070.0717223168,3.0
