id,pais_id,año,INB_percapita,nivel_id
187,12.0,2019,16420.0,3.0
188,12.0,2018,15880.0,3.0
189,12.0,2017,14320.0,3.0
190,12.0,2016,13580.0,3.0
191,12.0,2015,12850.0,3.0
192,12.0,2014,12760.0,3.0
193,12.0,2013,12620.0,3.0
194,12.0,2012,12780.0,3.0
195,12.0,2011,12370.0,2.0
196,12.0,2010,12690.0,3.0
197,12.0,2009,13600.0,3.0
198,12.0,2008,15250.0,3.0
199,12.0,2007,15090.0,3.0
200,12.0,2006,13810.0,3.0
201,12.0,2005,12420.0,3.0
202,12.0,2004,11450.0,2.0
203,12.0,2003,10530.0,2.0
204,12.0,2002,9660.0,2.0
205,12.0,2001,9850.0,2.0
206,12.0,2000,10100.0,2.0
207,12.0,1999,9610.0,2.0
208,12.0,1998,9270.0,2.0
209,12.0,1997,9080.0,2.0
210,12.0,1996,8700.0,2.0
211,12.0,1995,8140.0,2.0
212,12.0,1994,8450.0,2.0
213,12.0,1993,7960.0,2.0
214,12.0,1992,7470.0,2.0
215,12.0,1991,7230.0,2.0
216,12.0,1990,6820.0,2.0
217,9.0,2020,9080.0,2.0
218,9.0,2019,11260.0,2.0
219,9.0,2018,12430.0,3.0
220,9.0,2017,13140.0,3.0
221,9.0,2016,12220.0,2.0
222,9.0,2015,12600.0,3.0
223,9.0,2014,12350.0,2.0
224,9.0,2013,12870.0,3.0
225,9.0,2012,11890.0,2.0
226,9.0,2011,10710.0,2.0
227,9.0,2010,9270.0,2.0
228,9.0,2009,7800.0,2.0
229,9.0,2008,7670.0,2.0
230,9.0,2007,6510.0,2.0
231,9.0,2006,5480.0,2.0
232,9.0,2005,4260.0,2.0
233,9.0,2004,3370.0,1.0
234,9.0,2003,3650.0,1.0
235,9.0,2002,4040.0,2.0
236,9.0,2001,7000.0,2.0
237,9.0,2000,7470.0,2.0
238,9.0,1999,7580.0,2.0
239,9.0,1998,8030.0,2.0
240,9.0,1997,8150.0,2.0
241,9.0,1996,7740.0,2.0
242,9.0,1995,7360.0,2.0
243,9.0,1994,7620.0,2.0
244,9.0,1993,7120.0,2.0
245,9.0,1992,6070.0,2.0
246,9.0,1991,3860.0,1.0
247,9.0,1990,3190.0,1.0
248,10.0,2020,4220.0,2.0
249,10.0,2019,4660.0,2.0
250,10.0,2018,4240.0,2.0
251,10.0,2017,3950.0,1.0
252,10.0,2016,3760.0,1.0
253,10.0,2015,4010.0,2.0
254,10.0,2014,4140.0,2.0
255,10.0,2013,4110.0,2.0
256,10.0,2012,3880.0,1.0
257,10.0,2011,3530.0,1.0
258,10.0,2010,3470.0,1.0
259,10.0,2009,3340.0,1.0
260,10.0,2008,3600.0,1.0
261,10.0,2007,2760.0,1.0
262,10.0,2006,2020.0,1.0
263,10.0,2005,1540.0,1.0
264,10.0,2004,1180.0,1.0
265,10.0,2003,960.0,0.0
266,10.0,2002,800.0,0.0
267,10.0,2001,710.0,0.0
268,10.0,2000,660.0,0.0
269,10.0,1999,610.0,0.0
270,10.0,1998,590.0,0.0
271,10.0,1997,560.0,0.0
272,10.0,1996,520.0,0.0
273,10.0,1995,470.0,0.0
274,10.0,1994,400.0,0.0
275,10.0,1993,360.0,0.0
276,10.0,1992,310.0,0.0
277,10.0,1991,,
278,10.0,1990,,
279,0.0,2020,23070.0,3.0
280,0.0,2019,28920.0,3.0
281,0.0,2018,28330.0,3.0
282,0.0,2017,27740.0,3.0
283,0.0,2016,26650.0,3.0
284,0.0,2015,26160.0,3.0
285,0.0,2014,25750.0,3.0
286,0.0,2013,25430.0,3.0
287,0.0,2012,24330.0,3.0
288,0.0,2011,23220.0,3.0
289,0.0,2010,23090.0,3.0
290,0.0,2009,24380.0,3.0
291,0.0,2008,26660.0,3.0
292,0.0,2007,22360.0,3.0
293,0.0,2006,23580.0,3.0
294,0.0,2005,19250.0,3.0
295,0.0,2004,22740.0,3.0
296,0.0,2003,20180.0,3.0
297,0.0,2002,18630.0,3.0
298,0.0,2001,20020.0,3.0
299,0.0,2000,20000.0,3.0
300,0.0,1999,17880.0,3.0
301,0.0,1998,17620.0,3.0
302,0.0,1997,17220.0,3.0
303,0.0,1996,16370.0,3.0
304,0.0,1995,16240.0,3.0
305,0.0,1994,15640.0,3.0
306,0.0,1993,14620.0,3.0
307,0.0,1992,13990.0,3.0
308,0.0,1991,13190.0,3.0
309,0.0,1990,12240.0,2.0
310,13.0,2020,53680.0,3.0
311,13.0,2019,54910.0,3.0
312,13.0,2018,53070.0,3.0
313,13.0,2017,51480.0,3.0
314,13.0,2016,54090.0,3.0
315,13.0,2015,60490.0,3.0
316,13.0,2014,65180.0,3.0
317,13.0,2013,66050.0,3.0
318,13.0,2012,60260.0,3.0
319,13.0,2011,50380.0,3.0
320,13.0,2010,46690.0,3.0
321,13.0,2009,44050.0,3.0
322,13.0,2008,42360.0,3.0
323,13.0,2007,37340.0,3.0
324,13.0,2006,34150.0,3.0
325,13.0,2005,30390.0,3.0
326,13.0,2004,25570.0,3.0
327,13.0,2003,21170.0,3.0
328,13.0,2002,20030.0,3.0
329,13.0,2001,20160.0,3.0
330,13.0,2000,21130.0,3.0
331,13.0,1999,21440.0,3.0
332,13.0,1998,21780.0,3.0
333,13.0,1997,21930.0,3.0
334,13.0,1996,20480.0,3.0
335,13.0,1995,19290.0,3.0
336,13.0,1994,18860.0,3.0
337,13.0,1993,18900.0,3.0
338,13.0,1992,18540.0,3.0
339,13.0,1991,18220.0,3.0
340,13.0,1990,17330.0,3.0
341,14.0,2020,48360.0,3.0
342,14.0,2019,51010.0,3.0
343,14.0,2018,49010.0,3.0
344,14.0,2017,45040.0,3.0
345,14.0,2016,46240.0,3.0
346,14.0,2015,47480.0,3.0
347,14.0,2014,50390.0,3.0
348,14.0,2013,50720.0,3.0
349,14.0,2012,50100.0,3.0
350,14.0,2011,50700.0,3.0
351,14.0,2010,49750.0,3.0
352,14.0,2009,49150.0,3.0
353,14.0,2008,49210.0,3.0
354,14.0,2007,44540.0,3.0
355,14.0,2006,41500.0,3.0
356,14.0,2005,38770.0,3.0
