acceso_servicios_sanitarios(%),año,esperanza_vida_total,estado_civil_casado_porcentaje,pais_id,tasa_bruta_mortalidad_por_1000_habitantes,tasa_fertilidad,tasa_mortalidad_infantil_ambos,tasa_mortalidad_suicidio_c/100.000,tasa_poblacion_urbana,total_muertes_por_sexo_fem,nivel_id
75.434258324,1995.0,68.938,67.5996084277412,10.0,7.969,2.055105,33.77717,2.3,66.057,12456.0,0.0
82.637660482,1994.0,68.538,67.6618655092751,10.0,7.869,2.167241,35.32526,2.58,66.332,12376.0,0.0
75.313790178,1993.0,68.218,67.6276087776916,10.0,7.803,2.315124,36.91141,2.4,66.606,12560.0,0.0
82.637660482,1992.0,67.99,67.4804884454666,10.0,7.67,2.508475,38.55999,2.58,66.878,12866.0,0.0
69.82522497,2004.0,68.249,61.1993177149277,15.0,7.243,1.924332,46.90742,4.3,52.189,28185.0,0.0
67.94942508,2003.0,67.791,61.4191693492594,15.0,7.335,1.882656,50.11891,3.8,51.988,27964.0,0.0
66.06597871,2002.0,67.391,61.6653556483815,15.0,7.396,1.871378,53.68178,3.6,51.787,27828.0,0.0
64.1750776,2001.0,67.054,61.9095849382235,15.0,7.604,1.906974,57.47961,3.4,51.587,27964.0,0.0
62.27634358,2000.0,66.763,62.1158200523403,15.0,7.779,1.974439,61.38168,3.1,51.386,28283.0,0.0
74.611024386,1999.0,66.491,62.2666548266683,15.0,8.033,2.045641,65.20256,2.46,51.185,28872.0,0.0
76.421764892,1998.0,66.207,62.3787864719789,15.0,8.344,2.12689,68.77129,3.28,51.278,30268.0,0.0
79.873580612,1997.0,65.899,62.4599714086116,15.0,8.685,2.24697,71.81362,2.58,51.588,31605.0,0.0
82.637660482,1996.0,65.573,62.4755449723242,15.0,8.946,2.385391,74.19805,2.5800000000000005,51.896,32998.0,0.0
76.17917873600001,1995.0,65.256,62.3957523283267,15.0,9.177,2.533056,75.88304,2.3,52.206,33249.0,0.0
79.873580612,1994.0,64.991,62.2891361707414,15.0,9.613,2.682909,76.95495,2.58,52.515,34312.0,0.0
82.637660482,1993.0,64.81,61.9291184176008,15.0,9.879,2.788402,77.09719,2.58,52.824,34710.0,0.0
42.1145323,2012.0,70.606,78.7052248330239,20.0,5.868,2.209476,35.55776,3.7,31.993,376660.0,0.0
40.56613749,2011.0,70.256,78.5307548339011,20.0,6.112,2.262016,37.23468,4.0,31.225,405356.0,0.0
39.0115438,2010.0,69.881,78.3248069952563,20.0,6.106,2.339541,39.03285,4.4,30.462,398898.0,0.0
37.45237978,2009.0,69.485,78.1244432044397,20.0,6.612,2.440115,40.96122,4.6,29.709,433120.0,0.0
35.89006951,2008.0,69.072,77.9162708009877,20.0,6.701,2.534849,43.00365,4.7,28.968,427820.0,0.0
34.32547217,2007.0,68.648,77.6852877470624,20.0,6.793,2.626237,45.40565,4.9,28.237,433319.0,0.0
32.75983902,2006.0,68.213,77.4648535103127,20.0,6.494,2.711878,47.52588,5.0,27.517,407426.0,0.0
31.19445716,2005.0,67.773,77.2472544162897,20.0,6.425,2.808163,49.98625,4.9,26.809,397684.0,0.0
29.6306337,2004.0,67.331,77.029237071385,20.0,6.44,2.914368,52.63388,4.9,26.114,396098.0,0.0
28.14527279,2003.0,66.886,76.7913643320368,20.0,6.549,3.002294,55.32415,5.1,25.429,394308.0,0.0
26.6531302,2002.0,66.43,76.5337961927545,20.0,6.597,3.08386,58.22216,5.3,24.756,398459.0,0.0
25.15466671,2001.0,65.956,76.3033693545168,20.0,6.75,3.146391,61.32377,5.7,24.096,411144.0,0.0
23.68160246,2000.0,65.447,76.5132195999661,20.0,6.855,3.217796,64.60686,6.0,23.59,414138.0,0.0
68.196274452,1999.0,64.881,76.7565951373191,20.0,6.662,3.304455,68.0955,3.3600000000000003,23.202,406791.0,0.0
51.5911179248,1998.0,64.25,77.0427637340522,20.0,7.511,3.393233,71.82481,4.16,22.818,444348.0,0.0
68.178733494,1997.0,63.553,77.3845422425216,20.0,8.563,3.491399,75.54575,3.4199999999999995,22.438,500748.0,0.0
68.178733494,1996.0,62.798,77.7417721933323,20.0,9.478,3.50393,79.46177,3.4199999999999995,22.064,568047.0,0.0
68.178733494,1995.0,62.002,78.1074756923839,20.0,9.496,3.605115,83.44638,3.4199999999999995,21.693,546189.0,0.0
68.196274452,1994.0,61.19,78.4627499184168,20.0,9.962,3.773805,87.33154,3.3600000000000003,21.328,563223.0,0.0
68.178733494,1993.0,60.388,78.8037819837081,20.0,10.343,3.851655,91.28595,3.4199999999999995,20.966,577902.0,0.0
68.178733494,1992.0,59.618,79.1313320399579,20.0,10.574,4.025506,95.21225,3.4199999999999995,20.61,576342.0,0.0
68.196274452,1991.0,58.891,79.4540035599535,20.0,12.565,4.240367,103.64283,3.3600000000000003,20.257,687075.0,0.0
68.196274452,1990.0,58.21,79.8150923836121,20.0,11.725,4.479373,103.02716,3.3600000000000003,19.811,634162.0,0.0
11.60785016,2007.0,58.255,70.4085076970314,18.0,10.961,5.562905,73.55027,8.5,41.558,46312.0,0.0
11.23741895,2006.0,57.817,70.5094590570255,18.0,11.128,5.635684,74.98768,8.6,41.049,45512.0,0.0
10.87332224,2005.0,57.355,70.5681565491367,18.0,11.337,5.676021,76.51839,8.7,40.543,44855.0,0.0
10.51544962,2004.0,56.887,70.6711611584609,18.0,11.546,5.721387,78.14881,8.8,40.039,44652.0,0.0
10.16369102,2003.0,56.436,70.8024837760059,18.0,11.649,5.769791,79.8623,8.8,39.536,43381.0,0.0
9.818465046,2002.0,56.025,70.9298011228932,18.0,11.77,5.776719,81.56854,8.8,39.036,42616.0,0.0
9.499141213,2001.0,55.668,71.058130467888,18.0,11.825,5.824039,83.25759,8.8,38.65,41069.0,0.0
9.197648658,2000.0,55.391,71.5000653969019,18.0,11.964,5.890408,84.98589,8.8,38.333,40069.0,0.0
82.637660482,1999.0,55.218,71.9573513479742,18.0,12.103,5.997727,86.75037,2.58,38.015,39382.0,0.0
76.299295244,1998.0,55.139,72.4528368028597,18.0,12.36,6.097384,88.57426,3.3600000000000003,37.699,39066.0,0.0
82.637660482,1997.0,55.133,72.9594474284594,18.0,12.596,6.203666,90.47137,2.58,37.385,38943.0,0.0
82.637660482,1996.0,55.17,73.4793049403773,18.0,12.927,6.261405,92.34358,2.58,37.071,39003.0,0.0
81.169465214,1995.0,55.203,73.9944565757414,18.0,13.192,6.313863,94.08088,2.66,36.758,38406.0,0.0
